Condition,From Lap,To Lap,# Of Laps,Reason,Free Pass
green_flag,1,51,51,,
yellow_flag,52,54,3,end of stage 1,#34
green_flag,55,84,30,,
yellow_flag,85,87,3,#9 accident turn 3,#12
green_flag,88,92,5,,
yellow_flag,93,95,3,rain,#34
green_flag,96,99,4,,
yellow_flag,100,103,4,#12 spun turn 3,#36
green_flag,104,114,11,,
yellow_flag,115,118,4,#47 accident turn 1,#12
green_flag,119,153,35,,
yellow_flag,154,156,3,#53 stopped on track,#32
green_flag,157,157,1,,
yellow_flag,158,161,4,"#1,17,34 accident backstretch",#32
green_flag,162,163,2,,
Percent of race run under caution: 14.7%             Average green flag run: 17.4 laps
