Rank,Driver,Points,Diff
1,Denny Hamlin,236,
2,Brad Keselowski,197,-39
3,Joey Logano,192,-44
4,Martin Truex Jr,180,-56
5,Kyle Larson,179,-57
5,Chase Elliott,179,-57
7,Kevin Harvick,176,-60
8,Christopher Bell,167,-69
9,William Byron,152,-84
10,Kurt Busch,144,-92
11,Michael McDowell,140,-96
12,Austin Dillon,135,-101
13,Ryan Blaney,134,-102
14,Ryan Preece,123,-113
15,Kyle Busch,115,-121
16,Ricky Stenhouse Jr,113,-123
17,Alex Bowman,110,-126
18,Chris Buescher,109,-127
19,Bubba Wallace,97,-139
20,Cole Custer,86,-150
21,Ross Chastain,85,-151
