Leader,From Lap,To Lap,# Of Laps
Brad Keselowski,1,2,2
Denny Hamlin,3,33,31
Brad Keselowski,34,43,10
Ryan Blaney,44,78,35
Brad Keselowski,79,79,1
Joey Logano,80,141,62
Kyle Larson,142,142,1
Bubba Wallace,143,143,1
Corey LaJoie,144,155,12
Joey Logano,156,193,38
Denny Hamlin,194,194,1
Joey Logano,195,223,29
"Martin Truex, Jr.",224,253,30
"Ricky Stenhouse, Jr.",254,254,1
"Martin Truex, Jr.",255,263,9
Denny Hamlin,264,264,1
Bubba Wallace,265,267,3
Joey Logano,268,268,1
Brad Keselowski,269,273,5
Joey Logano,274,283,10
Brad Keselowski,284,284,1
Joey Logano,285,287,3
"Martin Truex, Jr.",288,312,25
