Rank,Driver,Points,Diff
1,Ross Chastain,429,
2,Christopher Bell,402,-27
3,Kevin Harvick,400,-29
4,Denny Hamlin,394,-35
5,William Byron,386,-43
6,Martin Truex Jr,385,-44
7,Ryan Blaney,381,-48
8,Brad Keselowski,365,-64
9,Kyle Larson,363,-66
10,Tyler Reddick,361,-68
11,Kyle Busch,353,-76
12,Joey Logano,334,-95
13,Chris Buescher,329,-100
14,Ricky Stenhouse Jr,325,-104
15,Bubba Wallace,293,-136
16,Chase Briscoe,275,-154
17,Alex Bowman,270,-159
18,Daniel Suarez,262,-167
19,Ty Gibbs,260,-169
20,Austin Cindric,248,-181
21,Michael McDowell,241,-188
