Leader,From Lap,To Lap,# Of Laps
Bubba Wallace,1,1,1
Martin Truex Jr,2,138,137
Ryan Blaney,139,141,3
Bubba Wallace,142,142,1
Martin Truex Jr,143,150,8
Ross Chastain,151,189,39
Kyle Larson,190,202,13
Ross Chastain,203,247,45
Kevin Harvick,248,251,4
Ryan Blaney,252,252,1
Bubba Wallace,253,253,1
Denny Hamlin,254,262,9
Kyle Larson,263,276,14
Ross Chastain,277,277,1
Kyle Larson,278,279,2
Ross Chastain,280,287,8
William Byron,288,292,5
Kevin Harvick,293,293,1
William Byron,294,295,2
