Rank,Driver,Points,Diff
1,Ryan Blaney,5035,
2,Kyle Larson,5034,-1
3,William Byron,5033,-2
4,Christopher Bell,5001,-34
5,Denny Hamlin,2383,-2652
6,Tyler Reddick,2344,-2691
7,Chris Buescher,2310,-2725
8,Brad Keselowski,2302,-2733
9,Ross Chastain,2299,-2736
10,Bubba Wallace,2279,-2756
11,Martin Truex Jr,2269,-2766
12,Joey Logano,2258,-2777
13,Kevin Harvick,2241,-2794
14,Kyle Busch,2232,-2803
15,Michael McDowell,2185,-2850
16,Ricky Stenhouse Jr,2168,-2867
17,Chase Elliott,820,-4215
18,Ty Gibbs,771,-4264
19,Daniel Suarez,756,-4279
20,Alex Bowman,701,-4334
