Leader,From Lap,To Lap,# Of Laps
William Byron,1,92,92
Kevin Harvick,93,111,19
William Byron,112,112,1
Kevin Harvick,113,116,4
Ross Chastain,117,170,54
Chris Buescher,171,188,18
William Byron,189,189,1
Ross Chastain,190,240,51
Martin Truex Jr,241,241,1
Denny Hamlin,242,251,10
Chase Briscoe,252,253,2
Ross Chastain,254,257,4
Ryan Blaney,258,258,1
Ross Chastain,259,260,2
Ryan Blaney,261,261,1
Ross Chastain,262,276,15
William Byron,277,277,1
Denny Hamlin,278,281,4
Ross Chastain,282,312,31
