Condition,From Lap,To Lap,# Of Laps,Reason,Free Pass
green_flag,1,1,1,,
yellow_flag,2,6,5,#47 accident turn 2,none
green_flag,7,31,25,,
yellow_flag,32,39,8,competition,#27
green_flag,40,90,51,,
yellow_flag,91,97,7,"#17,48 accident turn 2",#96
green_flag,98,110,13,,
yellow_flag,111,115,5,#24 accident turn 3,#27
green_flag,116,124,9,,
yellow_flag,125,129,5,#96 spun turn 2,#15
green_flag,130,155,26,,
yellow_flag,156,160,5,debris,#96
green_flag,161,173,13,,
yellow_flag,174,177,4,#95 accident turn 4,#15
green_flag,178,186,9,,
yellow_flag,187,192,6,end of stage 2,#77
green_flag,193,212,20,,
yellow_flag,213,218,6,"#17,95 accident frontstretch",#77
green_flag,219,253,35,,
yellow_flag,254,259,6,#6 spun turn 1,#96
green_flag,260,293,34,,
Percent of race run under caution: 19.5%             Average green flag run: 21.5 laps
