Rank,Driver,Wins,Points
1,Joey Logano,2,185
2,Kevin Harvick,1,218
3,Alex Bowman,1,190
4,Denny Hamlin,1,154
5,Chase Elliott,0,178
6,Brad Keselowski,0,158
7,Aric Almirola,0,151
8,Ryan Blaney,0,144
9,Matt DiBenedetto,0,141
10,Martin Truex Jr,0,135
10,Clint Bowyer,0,135
12,Jimmie Johnson,0,132
13,Kurt Busch,0,129
14,Kyle Busch,0,122
15,Kyle Larson,0,121
16,Erik Jones,0,107
