Rank,Driver,Points,Diff
1,Kevin Harvick,218,
2,Alex Bowman,190,-28
3,Joey Logano,185,-33
4,Chase Elliott,178,-40
5,Brad Keselowski,158,-60
6,Denny Hamlin,154,-64
7,Aric Almirola,151,-67
8,Ryan Blaney,144,-74
9,Matt DiBenedetto,141,-77
10,Clint Bowyer,135,-83
10,Martin Truex Jr,135,-83
12,Jimmie Johnson,132,-86
13,Kurt Busch,129,-89
14,Kyle Busch,122,-96
15,Kyle Larson,121,-97
16,Chris Buescher,107,-111
16,Erik Jones,107,-111
18,Austin Dillon,103,-115
18,Bubba Wallace,103,-115
20,Tyler Reddick,101,-117
21,William Byron,99,-119
