Rank,Driver,Points,Diff
1,William Byron,3074,
2,Ryan Blaney,3068,-6
2,Christopher Bell,3068,-6
4,Kyle Larson,3058,-16
5,Denny Hamlin,3051,-23
6,Alex Bowman,3048,-26
7,Chase Elliott,3044,-30
7,Joey Logano,3044,-30
9,Tyler Reddick,3040,-34
10,Daniel Suarez,3030,-44
11,Chase Briscoe,3019,-55
12,Austin Cindric,3015,-59
13,Ty Gibbs,2120,-954
14,Martin Truex Jr,2104,-970
15,Brad Keselowski,2069,-1005
16,Harrison Burton,2045,-1029
17,Ross Chastain,806,-2268
18,Chris Buescher,780,-2294
19,Bubba Wallace,757,-2317
20,Kyle Busch,658,-2416
