Leader,From Lap,To Lap,# Of Laps
Christopher Bell,1,21,21
J.J. Yeley,22,22,1
Christopher Bell,23,72,50
William Byron,73,82,10
Denny Hamlin,83,83,1
Joey Logano,84,86,3
William Byron,87,100,14
Ty Gibbs,101,101,1
Kyle Busch,102,105,4
Christopher Bell,106,141,36
Ryan Blaney,142,144,3
Christopher Bell,145,145,1
Zane Smith,146,148,3
Christopher Bell,149,161,13
Alex Bowman,162,167,6
Ty Gibbs,168,171,4
Carson Hocevar,172,176,5
Ross Chastain,177,202,26
Kyle Busch,203,203,1
Ross Chastain,204,204,1
Kyle Busch,205,210,6
Tyler Reddick,211,217,7
Christopher Bell,218,218,1
Brad Keselowski,219,219,1
Kyle Busch,220,224,5
Ross Chastain,225,225,1
Kyle Busch,226,235,10
Ross Chastain,236,238,3
Brad Keselowski,239,241,3
Martin Truex Jr,242,246,5
Ross Chastain,247,267,21
