Leader,From Lap,To Lap,# Of Laps
Denny Hamlin,1,65,65
"Martin Truex, Jr.",66,93,28
Joey Logano,94,96,3
"Martin Truex, Jr.",97,124,28
Ryan Blaney,125,125,1
"Martin Truex, Jr.",126,126,1
Denny Hamlin,127,129,3
"Martin Truex, Jr.",130,130,1
Denny Hamlin,131,150,20
"Martin Truex, Jr.",151,151,1
Denny Hamlin,152,170,19
"Martin Truex, Jr.",171,193,23
Kyle Busch,194,244,51
Chase Elliott,245,247,3
Denny Hamlin,248,254,7
Kurt Busch,255,257,3
Joey Logano,258,258,1
Kyle Busch,259,261,3
Chase Elliott,262,300,39
