Rank,Driver,Points,Diff
1,Chase Elliott,586,
2,Ross Chastain,556,-30
3,Ryan Blaney,555,-31
4,Kyle Busch,539,-47
5,Joey Logano,534,-52
6,Kyle Larson,519,-67
7,Martin Truex Jr,516,-70
8,Christopher Bell,480,-106
9,William Byron,468,-118
10,Alex Bowman,461,-125
11,Kevin Harvick,452,-134
12,Aric Almirola,443,-143
13,Tyler Reddick,400,-186
14,Austin Dillon,399,-187
15,Kurt Busch,397,-189
16,Erik Jones,394,-192
17,Austin Cindric,392,-194
18,Chase Briscoe,389,-197
19,Daniel Suarez,388,-198
20,Denny Hamlin,374,-212
21,Michael McDowell,355,-231
