Rank,Driver,Wins,Points
1,Kyle Larson,1,234
2,Martin Truex Jr,1,212
3,Ryan Blaney,1,191
4,William Byron,1,188
5,Christopher Bell,1,183
6,Michael McDowell,1,158
7,Denny Hamlin,0,277
8,Joey Logano,0,214
9,Brad Keselowski,0,206
10,Kevin Harvick,0,203
11,Chase Elliott,0,183
12,Austin Dillon,0,170
13,Kyle Busch,0,163
14,Alex Bowman,0,157
15,Kurt Busch,0,152
16,Chris Buescher,0,144
