Condition,From Lap,To Lap,# Of Laps,Reason,Free Pass
green_flag,1,26,26,,
yellow_flag,27,30,4,competition,#00
green_flag,31,106,76,,
yellow_flag,107,112,6,end of stage 1,#10
green_flag,113,113,1,,
yellow_flag,114,118,5,"#1,11 accident turn 1",#34
green_flag,119,211,93,,
yellow_flag,212,217,6,end of stage 2,#22
green_flag,218,220,3,,
yellow_flag,221,224,4,fluid on track,#23
green_flag,225,325,101,,
Percent of race run under caution: 7.7%             Average green flag run: 50.0 laps
