Rank,Driver,Points,Diff
1,Denny Hamlin,277,
2,Kyle Larson,234,-43
3,Joey Logano,214,-63
4,Martin Truex Jr,212,-65
5,Brad Keselowski,206,-71
6,Kevin Harvick,203,-74
7,Ryan Blaney,191,-86
8,William Byron,188,-89
9,Christopher Bell,183,-94
9,Chase Elliott,183,-94
11,Austin Dillon,170,-107
12,Kyle Busch,163,-114
13,Michael McDowell,158,-119
14,Alex Bowman,157,-120
15,Kurt Busch,152,-125
16,Chris Buescher,144,-133
17,Ricky Stenhouse Jr,138,-139
18,Ryan Preece,135,-142
19,Bubba Wallace,118,-159
20,Ryan Newman,108,-169
20,Ross Chastain,108,-169
