Pos,St,#,Driver,Sponsor / Owner,Car,Laps,Status,Led,Pts,PPts
1,10,12,Ryan Blaney,Body Armor   (Roger Penske),Ford,325,running,25,57,5
2,6,5,Kyle Larson,Hendrickcars.com   (Rick Hendrick),Chevrolet,325,running,269,55,2
3,14,48,Alex Bowman,Ally   (Rick Hendrick),Chevrolet,325,running,0,47,0
4,1,11,Denny Hamlin,FedEx Express   (Joe Gibbs),Toyota,325,running,27,41,0
5,19,18,Kyle Busch,M&M's Messages   (Joe Gibbs),Toyota,325,running,0,48,0
6,13,3,Austin Dillon,Bass Pro Shops / Tracker Off Road   (Richard Childress),Chevrolet,325,running,0,35,0
7,17,17,Chris Buescher,Fastenal   (Jack Roush),Ford,325,running,0,35,0
8,9,24,William Byron,Liberty University   (Rick Hendrick),Chevrolet,325,running,2,36,0
9,2,19,Martin Truex Jr,Bass Pro Shops / Tracker Boats & ATVs   (Joe Gibbs),Toyota,325,running,0,32,0
10,7,4,Kevin Harvick,Hunt Brothers Pizza   (Stewart Haas Racing),Ford,325,running,0,27,0
11,20,21,Matt DiBenedetto,Menards / Maytag   (Wood Brothers),Ford,325,running,0,31,0
12,12,47,Ricky Stenhouse Jr,Kroger / Cottonelle / Cheerios   (JTG-Daugherty Racing),Chevrolet,325,running,0,25,0
13,28,6,Ryan Newman,Kohler Generators   (Jack Roush),Ford,325,running,0,24,0
14,21,42,Ross Chastain,Tubi TV   (Chip Ganassi),Chevrolet,325,running,0,23,0
15,3,22,Joey Logano,Shell / Pennzoil   (Roger Penske),Ford,324,running,0,22,0
16,15,23,Bubba Wallace,McDonald's   (23XI Racing),Toyota,324,running,0,21,0
17,25,99,Daniel Suarez,CommScope   (Trackhouse Racing),Chevrolet,324,running,1,21,0
18,27,41,Cole Custer,HaasTooling.com   (Stewart Haas Racing),Ford,324,running,0,19,0
19,18,34,Michael McDowell,Fr8 Auctions   (Bob Jenkins),Ford,324,running,0,18,0
20,16,10,Aric Almirola,Pit Boss Platinum   (Stewart Haas Racing),Ford,324,running,0,17,0
21,8,20,Christopher Bell,SiriusXM   (Joe Gibbs),Toyota,323,running,0,16,0
22,39,33,Austin Cindric,Pirtek   (Roger Penske),Ford,323,running,0,0,0
23,24,14,Chase Briscoe,HighPoint.com / Co-Op Financial   (Stewart Haas Racing),Ford,323,running,0,14,0
24,22,43,Erik Jones,Petty's Garage   (Richard Petty Motorsports),Chevrolet,323,running,0,13,0
25,23,37,Ryan Preece,Planters   (JTG-Daugherty Racing),Chevrolet,323,running,0,12,0
26,29,8,Tyler Reddick,Alsco Uniforms   (Richard Childress),Chevrolet,323,running,0,11,0
27,32,38,Anthony Alfredo,Georgia Peanuts	   (Bob Jenkins),Ford,322,running,0,10,0
28,4,2,Brad Keselowski,Auto Trader   (Roger Penske),Ford,321,running,0,9,0
29,30,7,Corey LaJoie,NFL Alumni / Folds of Honor   (Spire Motorsports),Chevrolet,319,running,0,8,0
30,26,77,Justin Haley,Diamond Creek Water   (Spire Motorsports),Chevrolet,319,running,0,0,0
31,33,51,Cody Ware,Nurtec ODT   (Rick Ware),Chevrolet,316,running,0,0,0
32,34,15,James Davison,Smart Sanitizer   (Rick Ware),Chevrolet,316,running,0,5,0
33,35,00,Quin Houff,8 Ball Chocolate Whiskey   (StarCom Racing),Chevrolet,314,running,0,4,0
34,31,78,B.J. McLeod,Surface Sunscreen   (B.J. McLeod),Ford,313,running,0,0,0
35,36,53,Joey Gase,Donate Life Georgia   (Rick Ware),Chevrolet,308,running,0,0,0
36,38,66,Timmy Hill,Supreme Transportation Group   (Carl Long),Toyota,305,running,0,0,0
37,37,52,Josh Bilicki,Insurance King   (Rick Ware),Ford,285,running,0,1,0
38,5,9,Chase Elliott,NAPA Auto Parts   (Rick Hendrick),Chevrolet,220,engine,0,4,0
39,11,1,Kurt Busch,Monster Energy   (Chip Ganassi),Chevrolet,113,crash,1,8,0
