Leader,From Lap,To Lap,# Of Laps
Denny Hamlin,1,16,16
Joey Logano,17,18,2
Denny Hamlin,19,26,8
Michael McDowell,27,27,1
Aric Almirola,28,32,5
Ryan Blaney,33,33,1
Aric Almirola,34,34,1
Erik Jones,35,35,1
Ryan Blaney,36,36,1
Erik Jones,37,41,5
Ryan Blaney,42,49,8
Joey Logano,50,50,1
Erik Jones,51,51,1
Chase Elliott,52,54,3
Aric Almirola,55,57,3
Chris Buescher,58,61,4
Kevin Harvick,62,62,1
Chase Elliott,63,65,3
Brad Keselowski,66,67,2
Chase Elliott,68,69,2
Chris Buescher,70,74,5
Erik Jones,75,75,1
Chris Buescher,76,81,6
Erik Jones,82,86,5
Matt DiBenedetto,87,88,2
Cody Ware,89,89,1
Chase Elliott,90,106,17
Jimmie Johnson,107,107,1
Chase Elliott,108,113,6
Joey Logano,114,116,3
"Martin Truex, Jr.",117,117,1
Tyler Reddick,118,118,1
"Martin Truex, Jr.",119,121,3
Kevin Harvick,122,122,1
Denny Hamlin,123,123,1
"Martin Truex, Jr.",124,125,2
Brad Keselowski,126,126,1
Tyler Reddick,127,127,1
Brad Keselowski,128,128,1
Bubba Wallace,129,134,6
Brad Keselowski,135,136,2
Joey Logano,137,148,12
Timmy Hill,149,149,1
Joey Logano,150,152,3
William Byron,153,153,1
Joey Logano,154,158,5
Chase Elliott,159,159,1
Joey Logano,160,160,1
Chase Elliott,161,161,1
Bubba Wallace,162,162,1
Joey Logano,163,166,4
Chase Elliott,167,169,3
Joey Logano,170,179,10
Bubba Wallace,180,182,3
Joey Logano,183,186,4
Matt DiBenedetto,187,187,1
Chase Elliott,188,192,5
Matt DiBenedetto,193,199,7
Denny Hamlin,200,200,1
