Condition,From Lap,To Lap,# Of Laps,Reason,Free Pass
green_flag,1,1,1,,
yellow_flag,2,4,3,"#8,13,43,95 accident turn 2",none
green_flag,5,9,5,,
yellow_flag,10,12,3,"#38,47 accident turn 4",none
green_flag,13,13,1,,
yellow_flag,14,15,2,#32 stopped on track,none
green_flag,16,26,11,,
yellow_flag,27,30,4,competition,none
green_flag,31,58,28,,
yellow_flag,59,65,7,"#3,10,12,18,88 accident backstretch",#62
green_flag,66,68,3,,
yellow_flag,69,73,5,debris turn 2,#00
green_flag,74,87,14,,
yellow_flag,88,92,5,#12 accident turn 3,#51
green_flag,93,109,17,,
yellow_flag,110,113,4,"#1,2,3,14,15,18,37,41,62,96 accident frontstretch",#77
green_flag,114,121,8,,
yellow_flag,122,125,4,end of stage 2,#32
green_flag,126,148,23,,
yellow_flag,149,152,4,debris,#51
green_flag,153,183,31,,
yellow_flag,184,187,4,#53 spun turn 4,#3
green_flag,188,188,1,,
yellow_flag,189,192,4,"#4,6,8,18,19,22 accident frontstretch",#3
green_flag,193,193,1,,
yellow_flag,194,198,5,"#2,3,4,12,19,20,37,42,43 accident turn 4",#19
green_flag,199,200,2,,
Percent of race run under caution: 27.0%             Average green flag run: 10.4 laps
