Rank,Driver,Points,Diff
1,Denny Hamlin,3141,
2,Kevin Harvick,3121,-20
3,Chase Elliott,3097,-44
4,Brad Keselowski,3094,-47
5,Martin Truex Jr,3085,-56
6,Alex Bowman,3075,-66
7,Joey Logano,3074,-67
8,Austin Dillon,3053,-88
8,Kyle Busch,3053,-88
10,Kurt Busch,3048,-93
11,Clint Bowyer,3036,-105
12,Aric Almirola,3026,-115
13,Ryan Blaney,2114,-1027
14,William Byron,2113,-1028
15,Matt DiBenedetto,2108,-1033
16,Cole Custer,2095,-1046
17,Jimmie Johnson,754,-2387
18,Erik Jones,751,-2390
19,Tyler Reddick,687,-2454
20,Chris Buescher,591,-2550
21,Christopher Bell,540,-2601
