Rank,Driver,Wins,Points
1,Austin Cindric,1,54
1,Brad Keselowski,0,54
3,Martin Truex Jr,0,49
4,Bubba Wallace,0,47
5,Chase Briscoe,0,41
5,Ryan Blaney,0,41
7,Michael McDowell,0,39
8,Kyle Busch,0,38
9,Chris Buescher,0,35
10,Chase Elliott,0,34
11,Joey Logano,0,33
12,Aric Almirola,0,32
13,David Ragan,0,29
14,Ty Dillon,0,26
15,Ricky Stenhouse Jr,0,25
16,Kurt Busch,0,24
