Rank,Driver,Points,Diff
1,Austin Cindric,54,
1,Brad Keselowski,54,0
3,Martin Truex Jr,49,-5
4,Bubba Wallace,47,-7
5,Chase Briscoe,41,-13
5,Ryan Blaney,41,-13
7,Michael McDowell,39,-15
8,Kyle Busch,38,-16
9,Chris Buescher,35,-19
10,Chase Elliott,34,-20
11,Joey Logano,33,-21
12,Aric Almirola,32,-22
13,David Ragan,29,-25
14,Ty Dillon,26,-28
15,Ricky Stenhouse Jr,25,-29
16,Kurt Busch,24,-30
17,Corey LaJoie,23,-31
18,Cody Ware,20,-34
19,Daniel Suarez,19,-35
20,Cole Custer,17,-37
20,Austin Dillon,17,-37
