Leader,From Lap,To Lap,# Of Laps
Brad Keselowski,1,6,6
Kyle Busch,7,7,1
Brad Keselowski,8,26,19
Kyle Busch,27,31,5
Brad Keselowski,32,32,1
Kyle Busch,33,37,5
"Ricky Stenhouse, Jr.",38,38,1
Harrison Burton,39,39,1
Joey Logano,40,40,1
Kyle Busch,41,57,17
William Byron,58,58,1
Harrison Burton,59,60,2
"Martin Truex, Jr.",61,67,7
Austin Dillon,68,68,1
Erik Jones,69,71,3
Ryan Blaney,72,107,36
"Martin Truex, Jr.",108,108,1
Bubba Wallace,109,109,1
Brad Keselowski,110,124,15
Kyle Larson,125,125,1
Brad Keselowski,126,129,4
"Martin Truex, Jr.",130,132,3
Bubba Wallace,133,133,1
Brad Keselowski,134,155,22
Bubba Wallace,156,156,1
Austin Cindric,157,162,6
Bubba Wallace,163,166,4
Austin Cindric,167,168,2
Bubba Wallace,169,170,2
Austin Cindric,171,175,5
Bubba Wallace,176,177,2
"Ricky Stenhouse, Jr.",178,178,1
Bubba Wallace,179,179,1
"Ricky Stenhouse, Jr.",180,193,14
Austin Cindric,194,201,8
