Condition,From Lap,To Lap,# Of Laps,Reason,Free Pass
green_flag,1,77,77,,
yellow_flag,78,85,8,#47 spun backstretch,#34
green_flag,86,166,81,,
yellow_flag,167,172,6,end of stage 2,#99
green_flag,173,213,41,,
yellow_flag,214,221,8,#5 accident,#6
green_flag,222,222,1,,
yellow_flag,223,229,7,"#15,42,6,1 accident backstretch",#48
green_flag,230,236,7,,
yellow_flag,237,242,6,#11 accident turn 1,#99
green_flag,243,267,25,,
Percent of race run under caution: 13.1%             Average green flag run: 38.7 laps
