Leader,From Lap,To Lap,# Of Laps
Martin Truex Jr,1,1,1
Bubba Wallace,2,10,9
Martin Truex Jr,11,19,9
William Byron,20,32,13
Tyler Reddick,33,33,1
Denny Hamlin,34,40,7
Brad Keselowski,41,53,13
Kyle Larson,54,80,27
Brad Keselowski,81,81,1
Kyle Larson,82,114,33
Brad Keselowski,115,115,1
Denny Hamlin,116,125,10
Kyle Larson,126,161,36
Ryan Blaney,162,167,6
Brad Keselowski,168,168,1
Ryan Blaney,169,173,5
William Byron,174,174,1
Ryan Blaney,175,212,38
Denny Hamlin,213,218,6
Ryan Blaney,219,221,3
Denny Hamlin,222,229,8
Christopher Bell,230,239,10
William Byron,240,242,3
Ryan Blaney,243,243,1
William Byron,244,251,8
Christopher Bell,252,267,16
