Rank,Driver,Points,Diff
1,William Byron,4126,
2,Christopher Bell,4110,-16
3,Ryan Blaney,4106,-20
4,Kyle Larson,4105,-21
5,Tyler Reddick,4096,-30
6,Denny Hamlin,4089,-37
6,Martin Truex Jr,4089,-37
8,Chris Buescher,4063,-63
9,Brad Keselowski,2262,-1864
10,Ross Chastain,2219,-1907
11,Bubba Wallace,2216,-1910
12,Kyle Busch,2210,-1916
13,Joey Logano,2198,-1928
14,Kevin Harvick,2170,-1956
15,Michael McDowell,2145,-1981
16,Ricky Stenhouse Jr,2136,-1990
17,Chase Elliott,779,-3347
18,Daniel Suarez,727,-3399
18,Ty Gibbs,727,-3399
20,A.J. Allmendinger,678,-3448
