Condition,From Lap,To Lap,# Of Laps,Reason,Free Pass
green_flag,1,7,7,,
yellow_flag,8,11,4,"#7,23 accident turn 3",none
green_flag,12,15,4,,
yellow_flag,16,20,5,"#7,47 accident turn 3",none
green_flag,21,76,56,,
yellow_flag,77,83,7,end of stage 1,#42
green_flag,84,129,46,,
yellow_flag,130,135,6,#00 accident turn 4,#34
green_flag,136,140,5,,
yellow_flag,141,145,5,#47 accident turn 3,#3
green_flag,146,155,10,,
yellow_flag,156,161,6,"#14,18 accident turn 3",#37
green_flag,162,191,30,,
yellow_flag,192,197,6,end of stage 2,#17
green_flag,198,248,51,,
yellow_flag,249,254,6,#38 accident turn 2,#34
green_flag,255,282,28,,
yellow_flag,283,288,6,debris turn 3,#17
green_flag,289,312,24,,
Percent of race run under caution: 16.3%             Average green flag run: 26.1 laps
