Rank,Driver,Points,Diff
1,Kyle Larson,5040,
2,Martin Truex Jr,5035,-5
3,Denny Hamlin,5034,-6
4,Chase Elliott,5032,-8
5,Kevin Harvick,2361,-2679
6,Brad Keselowski,2354,-2686
7,Ryan Blaney,2350,-2690
8,Joey Logano,2336,-2704
9,Kyle Busch,2318,-2722
10,William Byron,2306,-2734
11,Kurt Busch,2297,-2743
12,Christopher Bell,2279,-2761
13,Tyler Reddick,2250,-2790
14,Alex Bowman,2240,-2800
15,Aric Almirola,2215,-2825
16,Michael McDowell,2152,-2888
17,Austin Dillon,935,-4105
18,Matt DiBenedetto,775,-4265
19,Chris Buescher,771,-4269
20,Ross Chastain,729,-4311
21,Bubba Wallace,699,-4341
