Rank,Driver,Points,Diff
1,Alex Bowman,154,
2,Kevin Harvick,151,-3
3,Ross Chastain,148,-6
4,William Byron,143,-11
5,Kyle Larson,137,-17
5,Christopher Bell,137,-17
7,Ryan Blaney,124,-30
8,Kyle Busch,122,-32
8,Martin Truex Jr,122,-32
10,Daniel Suarez,119,-35
11,Joey Logano,118,-36
12,Brad Keselowski,115,-39
13,Chris Buescher,112,-42
14,Ricky Stenhouse Jr,104,-50
15,Denny Hamlin,101,-53
16,Bubba Wallace,92,-62
17,Austin Cindric,81,-73
18,Corey LaJoie,79,-75
19,Michael McDowell,76,-78
20,Tyler Reddick,72,-82
21,A.J. Allmendinger,71,-83
