Rank,Driver,Wins,Points
1,Alex Bowman,0,154
2,Ross Chastain,0,148
3,Kevin Harvick,0,146
4,William Byron,2,143
5,Kyle Larson,0,132
6,Christopher Bell,0,128
7,Kyle Busch,1,122
8,Martin Truex Jr,0,119
8,Daniel Suarez,0,119
10,Ryan Blaney,0,116
11,Joey Logano,0,108
11,Brad Keselowski,0,108
13,Chris Buescher,0,105
14,Ricky Stenhouse Jr,1,104
15,Denny Hamlin,0,99
16,Bubba Wallace,0,88
