Condition,From Lap,To Lap,# Of Laps,Reason,Free Pass
green_flag,1,61,61,,
yellow_flag,62,68,7,end of stage 1,#22
green_flag,69,138,70,,
yellow_flag,139,146,8,#10 accident turn 4,#54
green_flag,147,186,40,,
yellow_flag,187,194,8,end of stage 2,#3
green_flag,195,302,108,,
yellow_flag,303,309,7,#21 spun frontstretch,#3
green_flag,310,310,1,,
yellow_flag,311,315,5,"#16,#42,#54 accident turn 2",#99
green_flag,316,317,2,,
Percent of race run under caution: 11.0%             Average green flag run: 47.0 laps
