Rank,Driver,Points,Diff
1,Joey Logano,643,
2,Kyle Busch,642,-1
3,Kevin Harvick,573,-70
4,Brad Keselowski,569,-74
5,Martin Truex Jr,543,-100
6,Denny Hamlin,542,-101
7,Chase Elliott,535,-108
8,Kurt Busch,509,-134
9,Ryan Blaney,468,-175
10,Alex Bowman,460,-183
10,Aric Almirola,460,-183
12,Clint Bowyer,430,-213
13,Daniel Suarez,421,-222
14,William Byron,419,-224
15,Kyle Larson,408,-235
16,Ryan Newman,391,-252
17,Jimmie Johnson,390,-253
18,Erik Jones,386,-257
19,Paul Menard,353,-290
20,Ricky Stenhouse Jr,348,-295
21,Chris Buescher,330,-313
