Rank,Driver,Wins,Points
1,Kyle Busch,4,642
2,Martin Truex Jr,4,543
3,Brad Keselowski,3,569
4,Joey Logano,2,643
5,Denny Hamlin,2,542
6,Chase Elliott,1,535
7,Kevin Harvick,0,573
8,Kurt Busch,0,509
9,Ryan Blaney,0,468
10,Alex Bowman,0,460
10,Aric Almirola,0,460
12,Clint Bowyer,0,430
13,Daniel Suarez,0,421
14,William Byron,0,419
15,Kyle Larson,0,408
16,Ryan Newman,0,391
