Condition,From Lap,To Lap,# Of Laps,Reason,Free Pass
green_flag,1,15,15,,
yellow_flag,16,18,3,#20 spun turn 2,none
green_flag,19,86,68,,
yellow_flag,87,92,6,end of stage 1,#6
green_flag,93,149,57,,
yellow_flag,150,158,9,#42 accident turn 2,#22
green_flag,159,171,13,,
yellow_flag,172,177,6,end of stage 2,#20
green_flag,178,255,78,,
yellow_flag,256,260,5,#8 accident turn 2,none
green_flag,261,334,74,,
Percent of race run under caution: 8.7%             Average green flag run: 50.8 laps
