Rank,Driver,Points,Diff
1,Kyle Busch,310,
2,Denny Hamlin,302,-8
3,Kevin Harvick,277,-33
4,Joey Logano,275,-35
5,Aric Almirola,245,-65
6,Brad Keselowski,237,-73
7,Martin Truex Jr,232,-78
8,Ryan Blaney,219,-91
9,Chase Elliott,218,-92
10,Kurt Busch,213,-97
11,Clint Bowyer,192,-118
12,Kyle Larson,185,-125
13,Ricky Stenhouse Jr,183,-127
14,Daniel Suarez,180,-130
15,Jimmie Johnson,176,-134
16,Erik Jones,173,-137
17,Austin Dillon,160,-150
18,William Byron,153,-157
19,Alex Bowman,152,-158
19,Ryan Newman,152,-158
21,Paul Menard,149,-161
