Rank,Driver,Wins,Points
1,Kyle Busch,2,310
2,Denny Hamlin,2,302
3,Brad Keselowski,2,237
4,Joey Logano,1,275
5,Kevin Harvick,0,277
6,Aric Almirola,0,245
7,Martin Truex Jr,0,232
8,Ryan Blaney,0,219
9,Chase Elliott,0,218
10,Kurt Busch,0,213
11,Clint Bowyer,0,192
12,Kyle Larson,0,185
13,Ricky Stenhouse Jr,0,183
14,Daniel Suarez,0,180
15,Jimmie Johnson,0,176
16,Erik Jones,0,173
