Leader,From Lap,To Lap,# Of Laps
Jimmie Johnson,1,59,59
Joey Logano,60,60,1
Austin Dillon,61,62,2
Kyle Busch,63,65,3
William Byron,66,79,14
Clint Bowyer,80,82,3
Joey Logano,83,88,6
"Martin Truex, Jr.",89,98,10
Kyle Busch,99,108,10
Chase Elliott,109,143,35
Joey Logano,144,144,1
Kyle Busch,145,155,11
Denny Hamlin,156,172,17
Ryan Blaney,173,217,45
Daniel Suarez,218,220,3
Kyle Busch,221,238,18
Jimmie Johnson,239,239,1
Daniel Suarez,240,245,6
Kyle Busch,246,257,12
Aric Almirola,258,260,3
Erik Jones,261,263,3
Kyle Busch,264,275,12
Erik Jones,276,302,27
Denny Hamlin,303,318,16
William Byron,319,319,1
Austin Dillon,320,322,3
Denny Hamlin,323,334,12
