Rank,Driver,Points,Diff
1,Kyle Larson,185,
1,Martin Truex Jr,185,0
3,Ty Gibbs,178,-7
4,Ryan Blaney,177,-8
5,Denny Hamlin,173,-12
6,Chase Elliott,152,-33
7,Ross Chastain,151,-34
8,Christopher Bell,138,-47
9,Tyler Reddick,137,-48
10,William Byron,136,-49
11,Daniel Suarez,133,-52
12,Alex Bowman,132,-53
13,Brad Keselowski,125,-60
14,Chris Buescher,124,-61
14,John H. Nemechek,124,-61
16,Kyle Busch,122,-63
17,Michael McDowell,110,-75
18,Bubba Wallace,107,-78
18,Chase Briscoe,107,-78
20,Erik Jones,101,-84
21,Austin Cindric,93,-92
