Leader,From Lap,To Lap,# Of Laps
Ryan Blaney,1,2,2
Josh Berry,3,20,18
Denny Hamlin,21,25,5
Chase Elliott,26,26,1
Tyler Reddick,27,30,4
Bubba Wallace,31,40,10
Josh Berry,41,47,7
Bubba Wallace,48,52,5
Denny Hamlin,53,60,8
Chase Elliott,61,64,4
Ryan Blaney,65,68,4
Kyle Busch,69,73,5
Ryan Blaney,74,74,1
Denny Hamlin,75,82,8
Ryan Blaney,83,88,6
Denny Hamlin,89,119,31
Ty Gibbs,120,130,11
Ryan Blaney,131,131,1
Kyle Larson,132,140,9
Ty Gibbs,141,145,5
Martin Truex Jr,146,149,4
Ty Gibbs,150,153,4
Kyle Larson,154,156,3
Ty Gibbs,157,158,2
Denny Hamlin,159,162,4
Kyle Larson,163,165,3
Denny Hamlin,166,166,1
Kyle Larson,167,170,4
Ty Gibbs,171,181,11
Martin Truex Jr,182,182,1
Chris Buescher,183,199,17
Christopher Bell,200,223,24
Martin Truex Jr,224,235,12
Corey LaJoie,236,239,4
Christopher Bell,240,243,4
Joey Logano,244,248,5
Ty Gibbs,249,256,8
Martin Truex Jr,257,257,1
Ty Gibbs,258,284,27
Martin Truex Jr,285,317,33
Denny Hamlin,318,322,5
Ty Gibbs,323,364,42
Denny Hamlin,365,372,8
Martin Truex Jr,373,373,1
Denny Hamlin,374,379,6
Christopher Bell,380,380,1
Denny Hamlin,381,398,18
Ty Gibbs,399,425,27
Denny Hamlin,426,447,22
Martin Truex Jr,448,448,1
Brad Keselowski,449,449,1
Alex Bowman,450,452,3
Denny Hamlin,453,482,30
Martin Truex Jr,483,483,1
Denny Hamlin,484,500,17
