Rank,Driver,Wins,Points
1,Martin Truex Jr,0,185
1,Kyle Larson,1,185
3,Ty Gibbs,0,178
4,Ryan Blaney,0,177
5,Denny Hamlin,1,173
6,Chase Elliott,0,152
7,Ross Chastain,0,151
8,Christopher Bell,1,138
9,Tyler Reddick,0,137
10,William Byron,1,136
11,Daniel Suarez,1,133
12,Alex Bowman,0,132
13,Brad Keselowski,0,125
14,Chris Buescher,0,124
14,John H. Nemechek,0,124
16,Kyle Busch,0,122
