Condition,From Lap,To Lap,# Of Laps,Reason,Free Pass
green_flag,1,23,23,,
yellow_flag,24,30,7,"debris 3 , 4",none
green_flag,31,32,2,,
yellow_flag,33,38,6,accident frontstretch,#24
green_flag,39,70,32,,
yellow_flag,71,79,9,debris frontstretch,#16
green_flag,80,124,45,,
yellow_flag,125,140,16,spun 2 / stage 1 concl,#23
green_flag,141,176,36,,
yellow_flag,177,189,13,accident turn 4,#21
green_flag,190,228,39,,
yellow_flag,229,239,11,spun turn 2,#2
green_flag,240,251,12,,
yellow_flag,252,264,13,end of stage 2,#3
green_flag,265,310,46,,
yellow_flag,311,322,12,spun backstretch,#10
green_flag,323,368,46,,
yellow_flag,369,379,11,accident turn 4,#38
green_flag,380,500,121,,
Percent of race run under caution: 19.6%             Average green flag run: 40.2 laps
