Condition,From Lap,To Lap,# Of Laps,Reason,Free Pass
green_flag,1,77,77,,
yellow_flag,78,85,8,"#20,51 accident turn 2",#47
green_flag,86,131,46,,
yellow_flag,132,141,10,end of stage 1,#71
green_flag,142,145,4,,
yellow_flag,146,151,6,"#31,99 accident turn 2",#8
green_flag,152,158,7,,
yellow_flag,159,164,6,"#21,3,77 accident turn 4",#19
green_flag,165,184,20,,
yellow_flag,185,191,7,"#42,19,31 accident turn 4",#15
green_flag,192,196,5,,
yellow_flag,197,202,6,"#31,77,38 accident turn 1",#16
green_flag,203,261,59,,
yellow_flag,262,270,9,end of stage 2,#38
green_flag,271,398,128,,
yellow_flag,399,406,8,"#48,77 accident turn 2",#4
green_flag,407,407,1,,
yellow_flag,408,413,6,,#23
green_flag,414,500,87,,
Percent of race run under caution: 13.2%             Average green flag run: 43.4 laps
