Rank,Driver,Points,Diff
1,Joey Logano,5000,
1,Ryan Blaney,5000,0
1,Tyler Reddick,5000,0
1,William Byron,5000,0
5,Christopher Bell,2363,-2637
6,Kyle Larson,2339,-2661
7,Chase Elliott,2304,-2696
8,Alex Bowman,2295,-2705
9,Denny Hamlin,2293,-2707
10,Martin Truex Jr,2226,-2774
11,Austin Cindric,2222,-2778
12,Daniel Suarez,2199,-2801
13,Brad Keselowski,2186,-2814
14,Chase Briscoe,2176,-2824
15,Ty Gibbs,2168,-2832
16,Harrison Burton,2101,-2899
17,Bubba Wallace,898,-4102
18,Chris Buescher,897,-4103
19,Ross Chastain,884,-4116
20,Kyle Busch,750,-4250
