Rank,Driver,Points,Diff
1,Martin Truex Jr,830,
2,Denny Hamlin,771,-59
3,William Byron,725,-105
4,Christopher Bell,709,-121
5,Kyle Larson,698,-132
6,Kevin Harvick,677,-153
7,Ross Chastain,676,-154
8,Brad Keselowski,675,-155
9,Ryan Blaney,666,-164
10,Chris Buescher,665,-165
11,Kyle Busch,660,-170
12,Tyler Reddick,653,-177
13,Joey Logano,639,-191
14,Bubba Wallace,560,-270
15,Ricky Stenhouse Jr,542,-288
15,Michael McDowell,542,-288
17,Daniel Suarez,532,-298
18,Ty Gibbs,511,-319
19,Chase Elliott,480,-350
19,Alex Bowman,480,-350
21,A.J. Allmendinger,473,-357
