Rank,Driver,Wins,Points
1,Martin Truex Jr,3,830
2,Denny Hamlin,2,770
3,William Byron,4,726
4,Christopher Bell,1,709
5,Kyle Larson,2,698
6,Kevin Harvick,0,677
7,Ross Chastain,1,676
8,Brad Keselowski,0,675
9,Ryan Blaney,1,666
10,Chris Buescher,2,665
11,Kyle Busch,3,660
12,Tyler Reddick,1,653
13,Joey Logano,1,639
14,Bubba Wallace,0,560
15,Michael McDowell,1,542
15,Ricky Stenhouse Jr,1,542
