driver_name,start_pos,mid_race_pos,finish_pos,highest_pos,lowest_pos,avg_pos,pass_diff,green_flag_passes,green_flag_times_passed,quality_passes,pct_quality_passes,fastest_lap,top_15_laps,pct_top_15_laps,laps_led,pct_laps_led,total_laps,driver_rating
Ryan Blaney,2,19,1,1,23,3,1,55,54,39,70.9,48,346,98.9,201,57.4,350,146.0
William Byron,4,16,2,1,28,5,-12,80,92,65,81.3,23,337,96.3,0,0.0,350,120.0
Chase Elliott,9,18,3,1,18,6,2,84,82,72,85.7,31,346,98.9,1,0.3,350,116.6
Christopher Bell,10,1,4,1,36,13,18,101,83,48,47.5,37,225,64.3,7,2.0,350,97.3
Ricky Stenhouse Jr,35,11,5,1,35,16,30,131,101,37,28.2,1,173,49.4,4,1.1,350,79.6
Joey Logano,11,6,6,1,20,7,-7,79,86,68,86.1,4,313,89.4,0,0.0,350,100.4
Josh Berry,3,21,7,1,26,6,5,83,78,67,80.7,18,338,96.6,32,9.1,350,110.2
Alex Bowman,33,22,8,5,33,12,10,124,114,63,50.8,5,251,71.7,0,0.0,350,91.6
Daniel Suarez,13,4,9,1,15,9,2,65,63,61,93.8,1,350,100.0,4,1.1,350,90.1
Brad Keselowski,5,2,10,1,21,11,2,108,106,66,61.1,0,304,86.9,5,1.4,350,86.6
Ross Chastain,17,28,11,5,31,12,-2,88,90,63,71.6,15,269,76.9,0,0.0,350,94.4
Todd Gilliland,14,9,12,2,34,18,-4,120,124,47,39.2,0,191,54.6,0,0.0,350,69.8
Justin Haley,19,8,13,6,34,15,32,115,83,63,54.8,2,241,68.9,0,0.0,350,75.0
Carson Hocevar,20,7,14,3,35,18,14,106,92,30,28.3,0,118,33.7,0,0.0,350,63.0
Martin Truex Jr,31,33,15,14,34,23,16,147,131,4,2.7,4,45,12.9,0,0.0,349,65.4
Noah Gragson,23,15,16,9,35,22,31,160,129,9,5.6,1,24,6.9,0,0.0,349,58.2
Bubba Wallace,16,3,17,2,27,14,-11,80,91,51,63.8,0,192,55.0,0,0.0,349,68.0
Chris Buescher,15,12,18,1,33,19,17,102,85,25,24.5,3,91,26.1,16,4.6,349,57.5
Austin Dillon,36,23,19,16,36,23,5,162,157,0,0.0,2,0,0.0,0,0.0,349,49.0
Harrison Burton,25,32,20,8,34,23,-2,118,120,19,16.1,3,72,20.6,0,0.0,349,50.3
Corey LaJoie,24,27,21,5,36,22,8,116,108,9,7.8,1,23,6.6,0,0.0,349,53.4
Tyler Reddick,8,5,22,4,28,16,1,114,113,28,24.6,4,136,39.0,0,0.0,349,71.6
Michael McDowell,22,29,23,8,36,22,-24,104,128,22,21.2,14,97,27.8,0,0.0,349,67.8
Denny Hamlin,12,13,24,2,34,24,-6,104,110,30,28.8,1,66,19.0,0,0.0,348,42.1
Ty Gibbs,27,24,25,6,31,21,5,115,110,36,31.3,3,112,32.2,0,0.0,348,61.5
John H. Nemechek,34,10,26,9,35,26,0,133,133,5,3.8,0,4,1.1,0,0.0,348,40.5
Ryan Preece,29,31,27,15,34,23,-17,117,134,0,0.0,5,1,0.3,0,0.0,348,46.0
Chase Briscoe,6,26,28,2,31,17,-20,101,121,19,18.8,5,137,39.4,0,0.0,348,64.8
Daniel Hemric,30,17,29,13,36,31,-7,71,78,4,5.6,0,4,1.1,0,0.0,348,29.5
Austin Cindric,21,30,30,11,34,25,-20,109,129,15,13.8,5,22,6.3,0,0.0,347,38.6
Zane Smith,26,35,31,20,35,32,-18,61,79,0,0.0,0,0,0.0,0,0.0,347,30.2
Erik Jones,32,25,32,20,36,32,-15,53,68,0,0.0,0,0,0.0,0,0.0,347,30.8
Kaz Grala,28,34,33,22,36,33,-13,69,82,0,0.0,0,0,0.0,0,0.0,345,26.7
Kyle Larson,1,14,34,1,35,16,26,68,42,33,48.5,42,203,64.7,80,25.5,314,88.6
Kyle Busch,7,20,35,3,34,17,-40,60,100,34,56.7,14,219,80.5,0,0.0,272,80.3
A.J. Allmendinger,18,36,36,16,36,34,-10,26,36,0,0.0,0,0,0.0,0,0.0,54,27.8
