Condition,From Lap,To Lap,# Of Laps,Reason,Free Pass
green_flag,1,4,4,,
yellow_flag,5,9,5,accident turn 2,none
green_flag,10,52,43,,
yellow_flag,53,58,6,accident turn 1,#77
green_flag,59,71,13,,
yellow_flag,72,77,6,end of stage 1,none
green_flag,78,80,3,,
yellow_flag,81,86,6,accident turn 4,none
green_flag,87,182,96,,
yellow_flag,183,188,6,accident turn 2,#8
green_flag,189,211,23,,
yellow_flag,212,218,7,end of stage 2,#1
green_flag,219,220,2,,
yellow_flag,221,227,7,accident frontstretch,#34
green_flag,228,260,33,,
yellow_flag,261,266,6,accident turn 1,#11
green_flag,267,350,84,,
Percent of race run under caution: 14.0%             Average green flag run: 33.4 laps
