Rank,Driver,Points,Diff
1,Chase Elliott,591,
2,Kyle Larson,583,-8
3,Denny Hamlin,553,-38
4,William Byron,537,-54
5,Martin Truex Jr,530,-61
6,Tyler Reddick,527,-64
7,Ryan Blaney,501,-90
8,Christopher Bell,498,-93
8,Brad Keselowski,498,-93
10,Ross Chastain,479,-112
11,Ty Gibbs,478,-113
12,Alex Bowman,474,-117
13,Chris Buescher,435,-156
14,Bubba Wallace,414,-177
15,Joey Logano,408,-183
16,Kyle Busch,383,-208
17,Chase Briscoe,370,-221
18,Daniel Suarez,352,-239
19,Austin Cindric,327,-264
20,Todd Gilliland,317,-274
21,Josh Berry,314,-277
