Rank,Driver,Wins,Points
1,Denny Hamlin,4,506
2,Kevin Harvick,3,581
3,Brad Keselowski,2,514
4,Joey Logano,2,500
5,Ryan Blaney,1,529
6,Chase Elliott,1,510
7,Martin Truex Jr,1,500
8,Alex Bowman,1,464
9,Aric Almirola,0,431
10,Kurt Busch,0,430
11,Kyle Busch,0,423
12,Jimmie Johnson,0,390
13,Clint Bowyer,0,387
14,Matt DiBenedetto,0,384
15,William Byron,0,372
16,Erik Jones,0,341
