Condition,From Lap,To Lap,# Of Laps,Reason,Free Pass
green_flag,1,4,4,,
yellow_flag,5,11,7,rain,none
green_flag,12,15,4,,
yellow_flag,16,18,3,#34 accident turn 2,#78
green_flag,19,31,13,,
yellow_flag,32,35,4,end of stage 1,#48
green_flag,36,39,4,,
yellow_flag,40,44,5,#95 accident turn 2,#66
green_flag,45,46,2,,
yellow_flag,47,50,4,#17 accident turn 3,#53
green_flag,51,76,26,,
yellow_flag,77,79,3,"#12,18 accident turn 2",#15
green_flag,80,80,1,,
yellow_flag,81,83,3,#37 accident turn 2,#27
green_flag,84,86,3,,
yellow_flag,87,89,3,end of stage 2,#66
green_flag,90,140,51,,
Percent of race run under caution: 22.9%             Average green flag run: 12.0 laps
