Rank,Driver,Points,Diff
1,Kevin Harvick,581,
2,Ryan Blaney,529,-52
3,Brad Keselowski,514,-67
4,Chase Elliott,510,-71
5,Denny Hamlin,506,-75
6,Joey Logano,500,-81
6,Martin Truex Jr,500,-81
8,Alex Bowman,464,-117
9,Aric Almirola,431,-150
10,Kurt Busch,430,-151
11,Kyle Busch,423,-158
12,Jimmie Johnson,390,-191
13,Clint Bowyer,387,-194
14,Matt DiBenedetto,384,-197
15,William Byron,372,-209
16,Erik Jones,341,-240
17,Austin Dillon,327,-254
18,Tyler Reddick,315,-266
19,Ricky Stenhouse Jr,311,-270
20,Chris Buescher,298,-283
21,Bubba Wallace,290,-291
