Rank,Driver,Points,Diff
1,Chase Elliott,368,
2,Ryan Blaney,347,-21
3,William Byron,334,-34
4,Kyle Busch,312,-56
5,Alex Bowman,309,-59
6,Joey Logano,308,-60
7,Kyle Larson,299,-69
8,Martin Truex Jr,298,-70
9,Ross Chastain,292,-76
10,Aric Almirola,265,-103
11,Kevin Harvick,252,-116
12,Chase Briscoe,246,-122
13,Austin Dillon,245,-123
14,Christopher Bell,243,-125
15,Tyler Reddick,242,-126
16,Austin Cindric,238,-130
17,Erik Jones,231,-137
18,Kurt Busch,218,-150
18,Daniel Suarez,218,-150
20,Chris Buescher,196,-172
21,Bubba Wallace,193,-175
