Leader,From Lap,To Lap,# Of Laps
Christopher Bell,1,1,1
Daniel Suarez,2,3,2
Christopher Bell,4,9,6
Daniel Suarez,10,35,26
Cole Custer,36,36,1
Joey Logano,37,37,1
Kyle Larson,38,50,13
Bubba Wallace,51,51,1
Kyle Larson,52,52,1
Bubba Wallace,53,53,1
Kyle Larson,54,54,1
Bubba Wallace,55,60,6
B.J. McLeod,61,61,1
Kyle Larson,62,64,3
Erik Jones,65,65,1
Kyle Larson,66,66,1
Erik Jones,67,67,1
Kyle Larson,68,69,2
Erik Jones,70,73,4
Bubba Wallace,74,74,1
Erik Jones,75,82,8
B.J. McLeod,83,83,1
William Byron,84,121,38
J.J. Yeley,122,122,1
Erik Jones,123,124,2
Kyle Busch,125,125,1
Erik Jones,126,126,1
Kyle Busch,127,128,2
Ryan Blaney,129,151,23
Bubba Wallace,152,152,1
Erik Jones,153,154,2
Bubba Wallace,155,159,5
Corey LaJoie,160,160,1
Kurt Busch,161,161,1
Denny Hamlin,162,170,9
Kyle Larson,171,176,6
Erik Jones,177,177,1
Kyle Larson,178,181,4
Erik Jones,182,183,2
Kyle Larson,184,184,1
Erik Jones,185,187,3
Ross Chastain,188,188,1
