Rank,Driver,Wins,Points
1,William Byron,2,334
2,Ross Chastain,2,292
3,Kyle Busch,1,312
4,Alex Bowman,1,309
5,Kyle Larson,1,299
6,Chase Briscoe,1,246
7,Austin Cindric,1,238
8,Denny Hamlin,1,178
9,Chase Elliott,0,368
10,Ryan Blaney,0,347
11,Joey Logano,0,308
12,Martin Truex Jr,0,298
13,Aric Almirola,0,265
14,Kevin Harvick,0,252
15,Austin Dillon,0,245
16,Christopher Bell,0,243
