Leader,From Lap,To Lap,# Of Laps
Ryan Blaney,1,7,7
Denny Hamlin,8,26,19
Ryan Blaney,27,27,1
Kyle Busch,28,29,2
Denny Hamlin,30,44,15
Kyle Larson,45,83,39
Denny Hamlin,84,88,5
Kyle Larson,89,91,3
William Byron,92,98,7
Kyle Larson,99,101,3
Chase Elliott,102,102,1
Kyle Larson,103,152,50
Denny Hamlin,153,162,10
Tyler Reddick,163,163,1
Denny Hamlin,164,166,3
"Martin Truex, Jr.",167,167,1
Denny Hamlin,168,213,46
Tyler Reddick,214,217,4
Brad Keselowski,218,221,4
Austin Dillon,222,228,7
Denny Hamlin,229,267,39
