Rank,Driver,Points,Diff
1,Kyle Larson,3096,
2,Denny Hamlin,3082,-14
3,Kyle Busch,3074,-22
4,Martin Truex Jr,3070,-26
5,Ryan Blaney,3063,-33
6,Chase Elliott,3061,-35
7,Joey Logano,3045,-51
8,Brad Keselowski,3043,-53
9,William Byron,3039,-57
10,Kevin Harvick,3036,-60
11,Alex Bowman,3030,-66
12,Christopher Bell,3018,-78
13,Tyler Reddick,2118,-978
14,Kurt Busch,2104,-992
15,Aric Almirola,2093,-1003
16,Michael McDowell,2044,-1052
17,Austin Dillon,787,-2309
18,Matt DiBenedetto,656,-2440
19,Ross Chastain,638,-2458
20,Chris Buescher,610,-2486
21,Ricky Stenhouse Jr,594,-2502
