Rank,Driver,Points,Diff
1,Kevin Harvick,463,
2,Chase Elliott,455,-8
3,Joey Logano,434,-29
4,Brad Keselowski,412,-51
5,Ryan Blaney,411,-52
6,Martin Truex Jr,410,-53
7,Denny Hamlin,395,-68
8,Alex Bowman,380,-83
9,Kyle Busch,359,-104
10,Kurt Busch,338,-125
11,Jimmie Johnson,322,-141
12,Clint Bowyer,316,-147
13,Aric Almirola,303,-160
14,Matt DiBenedetto,301,-162
15,William Byron,291,-172
16,Austin Dillon,281,-182
17,Tyler Reddick,279,-184
18,Erik Jones,273,-190
19,Chris Buescher,233,-230
20,Bubba Wallace,231,-232
21,Ricky Stenhouse Jr,218,-245
