Condition,From Lap,To Lap,# Of Laps,Reason,Free Pass
green_flag,1,4,4,,
yellow_flag,5,8,4,rain,none
green_flag,9,21,13,,
yellow_flag,22,24,3,#6 spun turn 4,none
green_flag,25,32,8,,
yellow_flag,33,36,4,rain,none
green_flag,37,81,45,,
yellow_flag,82,87,6,end of stage 1,#20
green_flag,88,161,74,,
yellow_flag,162,167,6,end of stage 2,#37
green_flag,168,171,4,,
yellow_flag,172,175,4,"#22,6 accident turn 2",#38
green_flag,176,267,92,,
Percent of race run under caution: 10.1%             Average green flag run: 34.3 laps
