Rank,Driver,Points,Diff
1,Kevin Harvick,331,
2,Joey Logano,317,-14
3,Chase Elliott,290,-41
4,Alex Bowman,288,-43
5,Brad Keselowski,265,-66
6,Ryan Blaney,264,-67
7,Martin Truex Jr,263,-68
8,Denny Hamlin,244,-87
9,Aric Almirola,225,-106
10,Kurt Busch,223,-108
11,Matt DiBenedetto,220,-111
12,Kyle Busch,217,-114
13,Erik Jones,193,-138
14,Clint Bowyer,192,-139
15,Austin Dillon,190,-141
16,Jimmie Johnson,188,-143
17,Tyler Reddick,185,-146
18,William Byron,183,-148
19,Chris Buescher,164,-167
20,Ricky Stenhouse Jr,152,-179
21,John H. Nemechek,141,-190
