Rank,Driver,Points,Diff
1,Kyle Busch,460,
2,Joey Logano,455,-5
3,Kevin Harvick,397,-63
4,Denny Hamlin,383,-77
5,Martin Truex Jr,378,-82
6,Brad Keselowski,377,-83
7,Chase Elliott,371,-89
8,Kurt Busch,347,-113
9,Ryan Blaney,335,-125
10,Clint Bowyer,319,-141
11,Aric Almirola,309,-151
12,Daniel Suarez,292,-168
13,Alex Bowman,287,-173
14,Ryan Newman,270,-190
15,Kyle Larson,267,-193
16,Erik Jones,264,-196
17,Jimmie Johnson,261,-199
17,Austin Dillon,261,-199
19,William Byron,260,-200
20,Paul Menard,254,-206
21,Ricky Stenhouse Jr,227,-233
