Rank,Driver,Wins,Points
1,Kyle Busch,3,460
2,Denny Hamlin,2,383
3,Martin Truex Jr,2,378
4,Brad Keselowski,2,377
5,Joey Logano,1,455
6,Chase Elliott,1,371
7,Kevin Harvick,0,397
8,Kurt Busch,0,347
9,Ryan Blaney,0,335
10,Clint Bowyer,0,319
11,Aric Almirola,0,309
12,Daniel Suarez,0,292
13,Alex Bowman,0,287
14,Ryan Newman,0,270
15,Kyle Larson,0,267
16,Erik Jones,0,264
