Pos,St,#,Driver,Sponsor / Owner,Car,Laps,Status,Led,Pts,PPts
1,13,19,Martin Truex Jr,SiriusXM   (Joe Gibbs),Toyota,400,running,132,50,6
2,5,88,Alex Bowman,Nationwide Small Business   (Rick Hendrick),Chevrolet,400,running,16,48,0
3,3,42,Kyle Larson,Credit One Bank   (Chip Ganassi),Chevrolet,400,running,0,46,0
4,6,4,Kevin Harvick,Jimmy John's   (Stewart Haas Racing),Ford,400,running,1,47,0
5,1,9,Chase Elliott,NAPA Brakes   (Rick Hendrick),Chevrolet,400,running,145,47,0
6,15,20,Erik Jones,Sport Clips   (Joe Gibbs),Toyota,400,running,0,34,0
7,4,22,Joey Logano,Shell / Pennzoil   (Roger Penske),Ford,400,running,16,40,1
8,2,24,William Byron,Axalta   (Rick Hendrick),Chevrolet,400,running,5,34,0
9,10,14,Clint Bowyer,Mobil 1   (Stewart Haas Racing),Ford,400,running,0,31,0
10,22,18,Kyle Busch,Pedigree   (Joe Gibbs),Toyota,400,running,1,30,0
11,14,41,Daniel Suarez,Haas Automation   (Stewart Haas Racing),Ford,400,running,21,26,0
12,9,2,Brad Keselowski,Miller Lite   (Roger Penske),Ford,399,running,58,40,0
13,19,1,Kurt Busch,Monster Energy   (Chip Ganassi),Chevrolet,399,running,0,24,0
14,12,48,Jimmie Johnson,Ally   (Rick Hendrick),Chevrolet,399,running,4,23,0
15,11,12,Ryan Blaney,Menards / Duracell   (Roger Penske),Ford,399,running,0,29,0
16,7,10,Aric Almirola,Smithfield   (Stewart Haas Racing),Ford,399,running,0,21,0
17,18,21,Paul Menard,Motorcraft / Quick Lane Tire & Auto Center   (Wood Brothers),Ford,399,running,0,20,0
18,21,6,Ryan Newman,Wyndham Rewards   (Jack Roush),Ford,398,running,0,19,0
19,16,3,Austin Dillon,"AAA ""We Know Cars & Drivers""   (Richard Childress)",Chevrolet,398,running,0,18,0
20,17,95,Matt DiBenedetto,FDNY Foundation   (Leavine Family Racing),Toyota,398,running,0,17,0
21,8,11,Denny Hamlin,FedEx Office   (Joe Gibbs),Toyota,397,running,0,16,0
22,25,13,Ty Dillon,Twisted Tea   (Germain Racing),Chevrolet,397,running,0,15,0
23,30,37,Chris Buescher,Degree / Kleenex   (JTG-Daugherty Racing),Chevrolet,397,running,0,14,0
24,26,34,Michael McDowell,Dockside Logistics   (Bob Jenkins),Ford,395,running,1,13,0
25,23,8,Daniel Hemric,Caterpillar   (Richard Childress),Chevrolet,394,running,0,12,0
26,24,38,David Ragan,MDS Transport   (Bob Jenkins),Ford,393,running,0,11,0
27,27,43,Bubba Wallace,World Wide Technology   (Richard Petty Motorsports),Chevrolet,393,running,0,10,0
28,29,47,Ryan Preece,Kroger / Cottonelle / Kleenex   (JTG-Daugherty Racing),Chevrolet,392,running,0,9,0
29,28,32,Corey LaJoie,Keen Parts / CorvetteParts.net   (Archie St. Hilaire),Ford,392,running,0,8,0
30,36,15,Ross Chastain,Low-T Center   (Jay Robinson),Chevrolet,389,running,0,0,0
31,31,00,Landon Cassill,Kodra Communications   (StarCom Racing),Chevrolet,389,running,0,0,0
32,32,36,Matt Tifft,Surface Sunscreen / Tunity   (Bob Jenkins),Ford,387,running,0,5,0
33,20,17,Ricky Stenhouse Jr,Little Hug Fruit Barrels   (Jack Roush),Ford,386,running,0,4,0
34,33,51,Cody Ware,Jacob Companies   (Rick Ware),Ford,383,running,0,0,0
35,37,27,Reed Sorenson,Premium Motorsports   (Jay Robinson),Chevrolet,356,engine,0,2,0
36,35,77,Quin Houff,Spire Motorsports,Chevrolet,168,too slow,0,1,0
37,34,52,B.J. McLeod,Belmont Classic Cars   (Rick Ware),Chevrolet,96,engine,0,0,0
