Condition,From Lap,To Lap,# Of Laps,Reason,Free Pass
green_flag,1,41,41,,
yellow_flag,42,45,4,competition,#34
green_flag,46,106,61,,
yellow_flag,107,110,4,#17 accident turn 1,#11
green_flag,111,116,6,,
yellow_flag,117,119,3,#77 accident turn 2,#37
green_flag,120,121,2,,
yellow_flag,122,129,8,end of stage 1,#38
green_flag,130,241,112,,
yellow_flag,242,249,8,end of stage 2,#21
green_flag,250,265,16,,
yellow_flag,266,269,4,#11 spun turn 2,#1
green_flag,270,400,131,,
Percent of race run under caution: 7.8%             Average green flag run: 52.7 laps
